Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32015921,CEIP Plurilingüe Eulogio Gómez Franqueira,"O Piñeiral, s/n (San Amaro)",San Amaro,Ourense,32455,988788288,CEIP,42.379207611083984,-8.071374893188477,Pública,Non,Si
32016029,CEIP Plurilingüe Ben-Cho-Shey,Lugar A Chaira s/n,O Pereiro de Aguiar,Ourense,32710,988259454,CEIP,42.338966369628906,-7.786506175994873,Pública,Non,Si
32016030,EASD Antonio Failde,"Avenida da Universidade, La Cuña 18",Ourense,Ourense,32005,988238365,EASD,42.31698226928711,-7.855259418487549,Pública,Non,Si
32016042,CEIP de Sandiás,Campo de San Nicolas,Sandiás,Ourense,32692,988465205,CEIP,42.109474182128906,-7.758744239807129,Pública,Non,Si
32016066,CPR Plurilingüe Vila do Arenteiro,Os Corzos s/n,O Carballiño,Ourense,32500,988271400,CPR,42.43265151977539,-8.057777404785156,Privada,Si,Non
32016081,EOI de Ourense,Paseo Mestre Vide s/n,Ourense,Ourense,32004,988366073,EOI,42.34580993652344,-7.858304023742676,Pública,Non,Si
32016194,CPR Plurilingüe Guillelme Brown,A MERTEIRA,O Pereiro de Aguiar,Ourense,32710,988259589,CPR,42.34498977661133,-7.809641838073731,Privada,Si,Non
32016224,CPR San Marcos,Avenida de Buenos Aires 61,Ourense,Ourense,32004,988248794,CPR,42.341583251953125,-7.857845306396484,Privada,Non,Non
32016236,CEIP de Baltar,Rúa Sarxento Seoane s/n,Baltar,Ourense,32632,988294174,CEIP,41.95366287231445,-7.713612079620361,Pública,Non,Si
32016261,CEIP de Quins,Lugar Quins,Melón,Ourense,32411,988481090,CEIP,42.28409957885742,-8.19334888458252,Pública,Non,Si
32016273,IES Xesús Ferro Couselo,Ponte Sevilla 43,Ourense,Ourense,32005,988252000,IES,42.31563949584961,-7.863818645477295,Pública,Non,Si
32016285,IES de Vilamarín,Lugar O Palacio 2,Vilamarín,Ourense,32101,988685050,IES,42.45235824584961,-7.905148029327393,Pública,Non,Si
32016327,CEIP A Ponte,Avenida Xesus Pousa 14,Ourense,Ourense,32001,988783090,CEIP,42.348236083984375,-7.873817443847656,Pública,Non,Si
32016339,IES de Allariz,Rúa Emilia Pardo Bazan s/n,Allariz,Ourense,32660,988788001,IES,42.18797302246094,-7.801888942718506,Pública,Non,Si
32016340,IES Aquis Querquernis,Rúa Outeiro s/n,Bande,Ourense,32840,988788028,IES,42.032772064208984,-7.972824573516846,Pública,Non,Si
32016406,CPR Radio ECCA,Rúa do Ensino 24,Ourense,Ourense,32002,988253876,CPR,42.33706283569336,-7.871639728546143,Privada,Non,Non
32016431,IES San Mamede,Rúa  do Castelo 3,Maceda,Ourense,32700,988788561,IES,42.27060317993164,-7.655351638793945,Pública,Non,Si
32016443,CMUS Profesional de Ourense,Rúa Pablo Iglesias s/n - Lagunas,Ourense,Ourense,32004,988391047,CMUS,42.3484001159668,-7.857601165771484,Pública,Non,Si
32016455,IES Julio Prieto Nespereira,Rúa do Instituto 1,Ourense,Ourense,32001,988218570,IES,42.35639953613281,-7.862051010131836,Pública,Non,Si
32016467,IES Sección de Sobradelo-Carballeda,"Rúa Candis, s/n (Sobradelo)",Carballeda de Valdeorras,Ourense,32330,988788574,IES,42.417320251464844,-6.925699710845947,Pública,Non,Si
32016510,CMUS Profesional do Barco de Valdeorras,Avenida Estación 2,O Barco de Valdeorras,Ourense,32300,988320533,CMUS,42.415523529052734,-6.985663414001465,Pública,Non,Non
32016522,CMUS Profesional do Carballiño,Praza Maior 1,O Carballiño,Ourense,32500,988530007,CMUS,42.43010711669922,-8.077969551086426,Pública,Non,Non
32016534,CMUS Profesional de Xinzo de Limia,Rúa Curros Enriquez 15,Xinzo de Limia,Ourense,32630,988550111,CMUS,42.0638313293457,-7.724772930145264,Pública,Non,Non
32016546,CMUS Profesional de Ribadavia,Rúa Redondela s/n,Ribadavia,Ourense,32400,988471900,CMUS,42.28557205200195,-8.145397186279297,Pública,Non,Non
32016558,CMUS Profesional de Verín,"Rúa Irmáns Sulleiro, s/n",Verín,Ourense,32600,988410000,CMUS,41.936798095703125,-7.427465915679932,Pública,Non,Non
32016561,CMUS Elemental de Celanova,Praza Maior 1,Celanova,Ourense,32800,988431481,CMUS,42.151981353759766,-7.957958698272705,Pública,Non,Non
32016625,IES Celanova Celso Emilio Ferreiro,Rúa Fernandez Losada s/n,Celanova,Ourense,32800,988431565,IES,42.151763916015625,-7.957770824432373,Pública,Non,Si
32016637,IES Cosme López Rodríguez,Rúa Vicente Risco s/n,A Rúa,Ourense,32350,988310833,IES,42.39210891723633,-7.12813138961792,Pública,Non,Si
32016649,EDANPR Nati Fleta,"Rúa Curros Enriquez, 17 - 1º",Ourense,Ourense,32003,988372644,EDANPR,42.34320068359375,-7.863099575042725,Privada,Non,Non
32016650,CEMU Profesional Karl Nielsen,"Rúa do Progreso, 139 - baixo",Ourense,Ourense,32003,988216484,CEMU,42.34220504760742,-7.868005275726318,Privada,Non,Non
32016662,ESMU Municipal da Pobra de Trives,Rúa Castelao s/n,A Pobra de Trives,Ourense,32780,988330000,ESMU,42.34098434448242,-7.250583648681641,Pública,Non,Non
32016698,ESMU Municipal de Maceda,Rúa do Castelo 2,Maceda,Ourense,32700,988463001,ESMU,42.27048110961914,-7.654525756835938,Pública,Non,Non
32016704,ESMU Municipal de Ourense,Avenida Saenz Diez 68,Ourense,Ourense,32003,988255729,ESMU,42.337467193603516,-7.861318588256836,Pública,Non,Non
