Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15018801,CEIP de Torres,Torres (San Xorxe),Vilarmaior,A Coruña,15638,625482551,CEIP,43.343902587890625,-8.116568565368652,Pública,Non,Si
15018938,EEI de Carantoña,Praza de Carantoña 17,Vimianzo,A Coruña,15129,,EEI,43.137672424316406,-9.09345531463623,Pública,Non,Si
15018987,CEIP de Castromil,Salto (Santa María),Vimianzo,A Coruña,15129,681214970,CEIP,43.137229919433594,-9.003816604614258,Pública,Non,Si
15019086,CEIP Labarta Pose,"Rúa Mestre Platas, s/n (Baio Pequeno)",Zas,A Coruña,15150,881960044,CEIP,43.14927291870117,-8.959065437316895,Pública,Non,Si
15019281,CPI de Zas,Rúa de Galicia 49,Zas,A Coruña,15850,881960028,CPI,43.10594940185547,-8.917637825012207,Pública,Non,Si
15019301,CPI de San Vicente,Rúa Tedelle,A Baña,A Coruña,15863,881867001,CPI,42.96022415161133,-8.764242172241211,Pública,Non,Si
15019311,CEIP Plurilingüe María Barbeito e Cervino,Alcal.Salorio Suarez 28,A Coruña,A Coruña,15010,981262612,CEIP,43.35956573486328,-8.425209999084473,Pública,Non,Si
15019323,CEIP Plurilingüe Alborada,Rúa San José de Calasanz 5 A,A Coruña,A Coruña,15008,881961192,CEIP,43.3447151184082,-8.41125202178955,Pública,Non,Si
15019347,CPI Camiño de Santiago,Rúa do Concello 16,O Pino,A Coruña,15821,881867011,CPI,42.90794372558594,-8.364192962646484,Pública,Non,Si
15019359,CEIP Plurilingüe Monte dos Postes,Rúa Fontiñas 79,Santiago de Compostela,A Coruña,15707,881867853,CEIP,42.88701248168945,-8.527109146118164,Pública,Non,Si
15019372,CEIP Plurilingüe San Vicenzo,Rúa do Candil 19,Vimianzo,A Coruña,15129,881866532,CEIP,43.110862731933594,-9.035265922546387,Pública,Non,Si
15019499,CEIP de Piñeiros,Estrada de Castela (Piñeiros) s/n,Narón,A Coruña,15570,881930378,CEIP,43.51234817504883,-8.176960945129395,Pública,Non,Si
15019542,EEI da Igrexa,A Tarroeira,Ames,A Coruña,15034,981884459,EEI,42.85295867919922,-8.638422012329102,Pública,Non,Si
15019608,EEI de San Bartolomeu,Lugar San Xoán 4,Cambre,A Coruña,15668,629587803,EEI,43.29807662963867,-8.317513465881348,Pública,Non,Si
15020313,EFAG El Piñeiral,Santa María de Arzúa s/n,Arzúa,A Coruña,15810,981500580,EFAG,42.93732452392578,-8.160964012145996,Privada,Si,Non
15020374,EEI de Extramundi de Arriba,Padrón (Santiago),Padrón,A Coruña,15910,644968647,EEI,42.74931335449219,-8.668692588806152,Pública,Non,Si
15020431,CPR Agarimo,Rúa Padre Villa 30,Arteixo,A Coruña,15141,981600687,CPR,43.310359954833984,-8.487008094787598,Privada,Si,Non
15020489,CPR Plurilingüe Montespiño,Rúa Montespiño 10,Culleredo,A Coruña,15174,981284311,CPR,43.317039489746094,-8.4124174118042,Privada,Si,Non
15020544,IES de Ortigueira,Rúa Constitución s/n,Ortigueira,A Coruña,15330,881930407,IES,43.686180114746094,-7.854838371276856,Pública,Non,Si
15020556,IES Breamo,Rúa Ricardo Sanchez 5,Pontedeume,A Coruña,15600,881930435,IES,43.406070709228516,-8.167198181152344,Pública,Non,Si
15020568,CEIP Plurilingüe Labaca,"Rúa Juan Florez, 116",A Coruña,A Coruña,15005,881960284,CEIP,43.36039352416992,-8.406692504882812,Pública,Non,Si
15020611,EEI Gonzar,Gonzar (Santa María),O Pino,A Coruña,15821,696975078,EEI,42.95756912231445,-8.322895050048828,Pública,Non,Si
15020659,EEI de Covas,Covas s/n,Ames,A Coruña,15864,981884850,EEI,42.8796272277832,-8.64323616027832,Pública,Non,Si
15020672,EEI de Rorís,Armentón (San Pedro),Arteixo,A Coruña,15142,981640238,EEI,43.2867431640625,-8.54658317565918,Pública,Non,Si
15020714,EEI de Larín de Arriba,Lugar Rexedoiros-Larín,Arteixo,A Coruña,15144,981606212,EEI,43.26282501220703,-8.540748596191406,Pública,Non,Si
15020775,EEI da Lagoa,Rúa A Lagoa s/m,Arteixo,A Coruña,15142,981646930,EEI,43.30350112915039,-8.572395324707031,Pública,Non,Si
15020842,CEIP de Torrexallóns,Torrexallons,Laxe,A Coruña,15119,981735550,CEIP,43.187782287597656,-9.008827209472656,Pública,Non,Si
15020854,CPI de Xanceda,Lugar OS CORRILLOS,Mesía,A Coruña,15685,881880752,CPI,43.08622360229492,-8.241039276123047,Pública,Non,Si
15020911,CPI Plurilingüe de Vedra,Avenida do Mestre Manuel Gómez,Vedra,A Coruña,15885,881867015,CPI,42.77390670776367,-8.483543395996094,Pública,Non,Si
15020921,CEIP de Présaras,Présaras (San Pedro),Vilasantar,A Coruña,15807,981778050,CEIP,43.0515022277832,-8.10490608215332,Pública,Non,Si
15020933,EEI de Barrionovo,Avenida de Pastoriza s/n,Arteixo,A Coruña,15142,696846412,EEI,43.33013916015625,-8.465242385864258,Pública,Non,Si
15020969,CEIP Plurilingüe Mosteiro de Caaveiro,As Neves,A Capela,A Coruña,15613,881938153,CEIP,43.435546875,-8.062838554382324,Pública,Non,Si
15020970,CEIP Plurilingüe Celso Emilio Ferreiro,Rodís (San Martiño),Cerceda,A Coruña,15186,881880506,CEIP,43.155277252197266,-8.567018508911133,Pública,Non,Si
15020982,CEIP Plurilingüe O Ramo,"Rúa Pablo Ares Feal, 28 (O Ramo)",Fene,A Coruña,15528,881930137,CEIP,43.46410369873047,-8.189342498779297,Pública,Non,Si
15020994,CPI de Viaño Pequeno,Viaño Pequeno,Trazo,A Coruña,15687,881866510,CPI,43.025028228759766,-8.517730712890625,Pública,Non,Si
15021056,EEI de Arretén,Iria Flavia (Santa María),Padrón,A Coruña,15917,618834694,EEI,42.7425422668457,-8.649641036987305,Pública,Non,Si
15021160,EEI de Traba,Campo dos Bois (Melgueiras) s/n,Laxe,A Coruña,15119,981735553,EEI,43.178462982177734,-9.039076805114746,Pública,Non,Si
15021214,EEI de Tal de Abaixo,Tal (Santiago),Muros,A Coruña,15289,696768472,EEI,42.78689956665039,-9.001036643981934,Pública,Non,Si
15021299,EEI de Carnés,Carnés (San Cristovo),Vimianzo,A Coruña,15121,630170208,EEI,43.11383056640625,-9.11270809173584,Pública,Non,Si
15021317,CPI Pecalama,Rúa Xesteira 22,Tordoia,A Coruña,15683,881960001,CPI,43.08811950683594,-8.552492141723633,Pública,Non,Si
15021354,CEIP Bergantiños,Rúa Carballo Calero s/n,Carballo,A Coruña,15100,881880386,CEIP,43.21784973144531,-8.696300506591797,Pública,Non,Si
